# Frequency	Jx+	Jx-	Jy+	Jy-	Jz+	Jz-
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.7690681420	0.0000000015	0.0000000027	0.0000000037	0.0000000006	0.0000000010	0.0000000033
1.5381362840	0.0000000121	0.0000000218	0.0000000292	0.0000000047	0.0000000077	0.0000000262
2.3072044260	0.0000000408	0.0000000733	0.0000000983	0.0000000157	0.0000000258	0.0000000882
3.0762725680	0.0000000965	0.0000001736	0.0000002328	0.0000000372	0.0000000612	0.0000002089
3.8453407100	0.0000001884	0.0000003388	0.0000004545	0.0000000727	0.0000001194	0.0000004078
4.6144088520	0.0000003254	0.0000005852	0.0000007850	0.0000001256	0.0000002062	0.0000007044
5.3834769940	0.0000005166	0.0000009290	0.0000012462	0.0000001993	0.0000003274	0.0000011182
6.1525451360	0.0000007709	0.0000013864	0.0000018598	0.0000002975	0.0000004885	0.0000016688
6.9216132780	0.0000010975	0.0000019736	0.0000026476	0.0000004235	0.0000006955	0.0000023757
7.6906814200	0.0000015053	0.0000027069	0.0000036314	0.0000005808	0.0000009539	0.0000032583
8.4597495620	0.0000020033	0.0000036025	0.0000048328	0.0000007730	0.0000012694	0.0000043363
9.2288177040	0.0000026006	0.0000046766	0.0000062737	0.0000010035	0.0000016479	0.0000056292
9.9978858460	0.0000033185	0.0000060724	0.0000081151	0.0000012757	0.0000020950	0.0000072958
10.7669539880	0.0000043502	0.0000081735	0.0000109304	0.0000015933	0.0000026164	0.0000099072
11.5360221300	0.0000060144	0.0000107756	0.0000148305	0.0000019595	0.0000032179	0.0000135721
12.3050902720	0.0000086330	0.0000136485	0.0000198760	0.0000024055	0.0000039067	0.0000183749
13.0741584139	0.0000125276	0.0000169437	0.0000262248	0.0000032465	0.0000047871	0.0000246842
13.8432265559	0.0000180200	0.0000205739	0.0000341886	0.0000044053	0.0000061174	0.0000324765
14.6122946979	0.0000254319	0.0000243307	0.0000440927	0.0000056698	0.0000081696	0.0000415929
15.3813628399	0.0000350849	0.0000280053	0.0000562625	0.0000068277	0.0000112158	0.0000518745
16.1504309819	0.0000473009	0.0000313893	0.0000710235	0.0000076667	0.0000155277	0.0000631625
16.9194991239	0.0000682585	0.0000348142	0.0000950982	0.0000079745	0.0000222204	0.0000808523
17.6885672659	0.0000920441	0.0000398287	0.0001243224	0.0000075504	0.0000321064	0.0000997665
18.4576354079	0.0001077052	0.0000453109	0.0001463196	0.0000066965	0.0000422591	0.0001107570
19.2267035499	0.0001212686	0.0000496700	0.0001652214	0.0000057172	0.0000511896	0.0001197490
19.9957716919	0.0001335051	0.0000531114	0.0001818870	0.0000047294	0.0000587961	0.0001278203
20.7648398339	0.0001442824	0.0000558467	0.0001962788	0.0000038502	0.0000649773	0.0001351517
21.5339079759	0.0001534702	0.0000630506	0.0002133850	0.0000031358	0.0000746572	0.0001418636
22.3029761179	0.0001667946	0.0000716695	0.0002359296	0.0000025344	0.0000847070	0.0001537571
23.0720442599	0.0001801143	0.0000813517	0.0002594435	0.0000020225	0.0000947243	0.0001667417
23.8411124019	0.0001914442	0.0000923096	0.0002821766	0.0000015772	0.0001046887	0.0001790650
24.6101805439	0.0002013711	0.0001047479	0.0003049176	0.0000012015	0.0001148115	0.0001913076
25.3792486859	0.0002110778	0.0001190011	0.0003286458	0.0000014330	0.0001252747	0.0002048042
26.1483168279	0.0002194674	0.0001353701	0.0003517093	0.0000031283	0.0001339688	0.0002208688
26.9173849699	0.0002270405	0.0001529333	0.0003737331	0.0000062407	0.0001422326	0.0002377412
27.6864531119	0.0002404815	0.0001703894	0.0004004618	0.0000104090	0.0001515670	0.0002593038
28.4555212539	0.0002535479	0.0001863517	0.0004248327	0.0000150669	0.0001620204	0.0002778792
29.2245893959	0.0002676822	0.0002024182	0.0004502799	0.0000198205	0.0001764345	0.0002936659
29.9936575379	0.0002835819	0.0002187674	0.0004778942	0.0000244551	0.0001954030	0.0003069463
30.7627256799	0.0003013464	0.0002332228	0.0005056468	0.0000289224	0.0002169975	0.0003175717
31.5317938219	0.0003208808	0.0002459636	0.0005336323	0.0000332121	0.0002413474	0.0003254970
32.3008619639	0.0003419526	0.0002571287	0.0005617670	0.0000373143	0.0002684758	0.0003306056
33.0699301059	0.0003692196	0.0002662915	0.0005942921	0.0000412190	0.0002991440	0.0003363671
33.8389982479	0.0004002806	0.0002726308	0.0006272107	0.0000457006	0.0003360257	0.0003368856
34.6080663899	0.0004408549	0.0002749271	0.0006666319	0.0000491502	0.0003833958	0.0003323862
35.3771345319	0.0004855920	0.0002721150	0.0007083650	0.0000493420	0.0004352965	0.0003224106
36.1462026739	0.0005315972	0.0002684832	0.0007506436	0.0000494368	0.0004891185	0.0003109618
36.9152708159	0.0005773088	0.0002651576	0.0007930989	0.0000493674	0.0005424906	0.0002999758
37.6843389579	0.0006203891	0.0002635118	0.0008347467	0.0000491542	0.0005923861	0.0002915147
38.4534070999	0.0006625141	0.0002664699	0.0008799027	0.0000490814	0.0006401750	0.0002888091
39.2224752418	0.0007014019	0.0002752994	0.0009272675	0.0000494338	0.0006822947	0.0002944066
39.9915433838	0.0007366786	0.0002872073	0.0009736158	0.0000502701	0.0007181816	0.0003057043
40.7606115258	0.0007674493	0.0003037219	0.0010195815	0.0000515897	0.0007497963	0.0003213749
41.5296796678	0.0007944475	0.0003241083	0.0010651829	0.0000533729	0.0007774282	0.0003411276
42.2987478098	0.0008186417	0.0003482073	0.0011111514	0.0000556976	0.0008028895	0.0003639595
43.0678159518	0.0008406605	0.0003785922	0.0011582483	0.0000610044	0.0008280214	0.0003912313
43.8368840938	0.0008614490	0.0004148134	0.0012070054	0.0000692569	0.0008544825	0.0004217798
44.6059522358	0.0008825901	0.0004519323	0.0012570441	0.0000774782	0.0008853812	0.0004491411
45.3750203778	0.0009051988	0.0004865383	0.0013033287	0.0000884085	0.0009204197	0.0004713175
46.1440885198	0.0009340154	0.0005166472	0.0013489058	0.0001017567	0.0009602537	0.0004904089
46.9131566618	0.0009694397	0.0005430109	0.0013953848	0.0001170659	0.0010066789	0.0005057718
47.6822248038	0.0010094815	0.0005656144	0.0014412639	0.0001338320	0.0010572914	0.0005178045
48.4512929458	0.0010548455	0.0005841649	0.0014869970	0.0001520135	0.0011106933	0.0005283171
49.2203610878	0.0011063133	0.0005996529	0.0015340416	0.0001719246	0.0011690387	0.0005369276
49.9894292298	0.0011603458	0.0006134572	0.0015823837	0.0001914192	0.0012290670	0.0005447360
50.7584973718	0.0012084994	0.0006330365	0.0016320491	0.0002094868	0.0012827658	0.0005587701
51.5275655138	0.0012568446	0.0006588740	0.0016913332	0.0002243855	0.0013381103	0.0005776083
52.2966336558	0.0012986070	0.0006919389	0.0017559998	0.0002345461	0.0013906128	0.0005999331
53.0657017978	0.0013310633	0.0007355871	0.0018245750	0.0002420754	0.0014391234	0.0006275270
53.8347699398	0.0013525350	0.0007902284	0.0018948303	0.0002479330	0.0014803890	0.0006623743
54.6038380818	0.0013658880	0.0008562346	0.0019673506	0.0002547720	0.0015174109	0.0007047116
55.3729062238	0.0013725015	0.0009309917	0.0020425627	0.0002609305	0.0015513993	0.0007520939
56.1419743658	0.0013749110	0.0010104832	0.0021232737	0.0002621205	0.0015800777	0.0008053165
56.9110425078	0.0013765726	0.0010913494	0.0022072282	0.0002606938	0.0016003445	0.0008675775
57.6801106498	0.0013806965	0.0011703698	0.0022907902	0.0002602761	0.0016120943	0.0009389719
58.4491787918	0.0013898455	0.0012455126	0.0023699288	0.0002654293	0.0016176757	0.0010176824
59.2182469338	0.0014084524	0.0013177498	0.0024468343	0.0002793679	0.0016224177	0.0011037845
59.9873150758	0.0014325140	0.0013928584	0.0025213348	0.0003040375	0.0016243764	0.0012009960
60.7563832178	0.0014516759	0.0014749122	0.0025861624	0.0003404256	0.0016219430	0.0013046451
61.5254513598	0.0014616389	0.0015666668	0.0026431919	0.0003851138	0.0016113776	0.0014169281
62.2945195018	0.0014592127	0.0016726783	0.0026981622	0.0004337288	0.0015926772	0.0015392137
63.0635876438	0.0014427767	0.0017923468	0.0027534720	0.0004816515	0.0015694588	0.0016656647
63.8326557858	0.0014155696	0.0019247858	0.0028124075	0.0005279479	0.0015478296	0.0017925258
64.6017239277	0.0013836760	0.0020659633	0.0028724952	0.0005771442	0.0015357098	0.0019139295
65.3707920697	0.0013546688	0.0022074937	0.0029311246	0.0006310378	0.0015315788	0.0020305837
66.1398602117	0.0013295213	0.0023454165	0.0029857234	0.0006892144	0.0015327538	0.0021421840
66.9089283537	0.0013070271	0.0024852517	0.0030399304	0.0007523484	0.0015419113	0.0022503674
67.6779964957	0.0012800958	0.0026367838	0.0030937852	0.0008230944	0.0015596210	0.0023572585
68.4470646377	0.0012623004	0.0027829593	0.0031420383	0.0009032213	0.0015827228	0.0024625369
69.2161327797	0.0012596991	0.0029163917	0.0031853345	0.0009907564	0.0016053437	0.0025707472
69.9852009217	0.0012681402	0.0030412840	0.0032249780	0.0010844462	0.0016294865	0.0026799377
70.7542690637	0.0012864499	0.0031570073	0.0032583432	0.0011851140	0.0016573466	0.0027861106
71.5233372057	0.0013107841	0.0032681004	0.0032864942	0.0012923903	0.0016854590	0.0028934256
72.2924053477	0.0013338441	0.0033822856	0.0033124087	0.0014037211	0.0017070515	0.0030090783
73.0614734897	0.0013496913	0.0035078643	0.0033395785	0.0015179771	0.0017221162	0.0031354394
73.8305416317	0.0013576320	0.0036488440	0.0033717726	0.0016347034	0.0017314688	0.0032750072
74.5996097737	0.0013714193	0.0037936905	0.0034110304	0.0017540794	0.0017512382	0.0034138716
75.3686779157	0.0014167874	0.0039145139	0.0034597840	0.0018715173	0.0017897114	0.0035415899
76.1377460577	0.0015055078	0.0039948816	0.0035143795	0.0019860099	0.0018470317	0.0036533577
76.9068141997	0.0016482159	0.0040264427	0.0035810838	0.0020935748	0.0019269789	0.0037476797
77.6758823417	0.0018535825	0.0040024187	0.0036629315	0.0021930698	0.0020343331	0.0038216682
78.4449504837	0.0021373402	0.0039008683	0.0037408732	0.0022973353	0.0021762820	0.0038619265
79.2140186257	0.0024916872	0.0037329313	0.0038205441	0.0024040744	0.0023410384	0.0038835801
79.9830867677	0.0028955751	0.0035192782	0.0039042752	0.0025105781	0.0025116016	0.0039032517
80.7521549097	0.0033225963	0.0032974478	0.0039973270	0.0026227171	0.0026743501	0.0039456940
81.5212230517	0.0037530317	0.0030789920	0.0040935150	0.0027385087	0.0028178538	0.0040141700
82.2902911937	0.0041750955	0.0028861503	0.0041811498	0.0028800959	0.0029474394	0.0041138064
83.0593593357	0.0046982875	0.0027676694	0.0042932306	0.0031727263	0.0031786054	0.0042873515
83.8284274777	0.0050185312	0.0025523899	0.0042688898	0.0033020313	0.0031797623	0.0043911587
84.5974956197	0.0053331899	0.0024194547	0.0043119317	0.0034407129	0.0032030851	0.0045495595
85.3665637617	0.0056262706	0.0024727427	0.0045528905	0.0035461228	0.0032767629	0.0048222504
86.1356319037	0.0060013506	0.0023942511	0.0047779765	0.0036176252	0.0034031077	0.0049924940
86.9047000457	0.0064535543	0.0022796803	0.0050525126	0.0036807220	0.0035431941	0.0051900405
87.6737681877	0.0068700600	0.0022164301	0.0053312691	0.0037552210	0.0036998960	0.0053865940
88.4428363297	0.0072570547	0.0022596836	0.0055593420	0.0039573963	0.0039335113	0.0055832270
89.2119044717	0.0084615309	0.0026171888	0.0058156697	0.0052630500	0.0051280420	0.0059506777
89.9809726136	0.0092138231	0.0029933117	0.0060157133	0.0061914215	0.0058839083	0.0063232265
90.7500407556	0.0104032022	0.0032320783	0.0062259639	0.0074093166	0.0064421536	0.0071931269
91.5191088976	0.0114436146	0.0040583690	0.0071652704	0.0083367133	0.0075233898	0.0079785938
92.2881770396	0.0107994780	0.0047822091	0.0075228214	0.0080588658	0.0070501856	0.0085315016
93.0572451816	0.0108394954	0.0051059246	0.0078898215	0.0080555985	0.0068693900	0.0090760300
93.8263133236	0.0109395410	0.0052771873	0.0082001659	0.0080165625	0.0066954924	0.0095212359
94.5953814656	0.0111555571	0.0054500326	0.0085808744	0.0080247153	0.0068063592	0.0097992305
95.3644496076	0.0114073006	0.0055429546	0.0090396914	0.0079105639	0.0069615229	0.0099887323
96.1335177496	0.0116990030	0.0056447551	0.0094790379	0.0078647203	0.0071069883	0.0102367698
96.9025858916	0.0120817244	0.0056609210	0.0098420587	0.0079005866	0.0073208134	0.0104218320
97.6716540336	0.0124486734	0.0056972315	0.0101518706	0.0079940343	0.0075771466	0.0105687582
98.4407221756	0.0127654450	0.0057521021	0.0103824394	0.0081351077	0.0078372049	0.0106803422
99.2097903176	0.0130105372	0.0059807285	0.0105634232	0.0084278425	0.0081823251	0.0108089406
